,Unnamed: 0,Lyric Generated,Genre,Predicted_Genre,Country Probability,Hip-Hop Probability
0,0, outro ,rap,country,0.5879161,0.41208395
1,1, outro ,rap,country,0.5879161,0.41208395
2,2, im gone of love with love ,rap,country,0.5677776,0.43222243
3,3, outro ,rap,country,0.5879161,0.41208395
4,4, outro megan malone ,rap,country,0.6259098,0.37409016
5,5, outro florida georgia line ,rap,country,0.68095237,0.31904763
6,6, bridge ,rap,country,0.57574916,0.4242508
7,7, outro ,rap,country,0.5879161,0.41208395
8,8, im gon play keep cant make well came show both right ,rap,rap,0.021257028,0.97874296
9,9, bridge ,rap,country,0.57574916,0.4242508
10,10, you know you know to you you you it you it it ,rap,rap,0.4865382,0.5134618
11,11, outro travis scott ,rap,country,0.6436466,0.35635343
12,12, outro ,rap,country,0.5879161,0.41208395
13,13,girl girl theres car of city to good no ,rap,rap,0.17144978,0.8285502
14,14,girl im gonna love to was made me in you deep ,rap,country,0.5019062,0.4980937
15,15,girl im goin for hard with be for be you it you this im im that that you shake ,rap,rap,0.21255298,0.78744704
16,16,girl cant really thing as what youre truck ,rap,country,0.91347647,0.086523525
17,17,girl outro ,rap,rap,0.49568346,0.50431657
18,18,girl outro by minaj by line by ,rap,rap,0.42428246,0.57571757
19,19,girl and brought the way we from that this aint was ,rap,country,0.501781,0.49821904
20,20,girl im in the way and im know in the my god ,rap,rap,0.3583837,0.6416163
21,21,girl im gon leave into too much ,rap,rap,0.007194435,0.99280554
22,22,girl id thing of ride is you know you do ,rap,country,0.5528705,0.44712946
23,23,girl you know it the know and you you know it you ,rap,rap,0.37411568,0.6258843
24,24,girl keep catch open actin yeah it ,rap,rap,0.040664878,0.95933515
25,25,girl outro thomas rhett he dont love ,rap,country,0.5025551,0.49744487
26,26,world thinkin gonna bitches reason of these gotta side ,rap,rap,0.10327587,0.89672416
27,27,world outro lil nothin with line ,rap,rap,0.086763084,0.9132369
28,28,world im only love from my motherfuckin felt ,rap,rap,0.24807516,0.7519248
29,29,world cant thought when to man em in ,rap,country,0.64792514,0.35207483
30,30,world outro megan malone with no ,rap,country,0.6276109,0.37238908
31,31,world outro by thug til line quavo ,rap,rap,0.055181425,0.9448186
32,32,world thats time from its back to let to ,rap,rap,0.4418113,0.5581887
33,33,world why think we got me in the dirt with the heart ,rap,country,0.55992216,0.44007784
34,34,world im only never take sure feel ride ,rap,country,0.6077519,0.3922481
35,35,world yeah just really the see the dance to the mind ,rap,rap,0.4848016,0.5151984
36,36,world im dont know it me ,rap,country,0.51634794,0.48365203
37,37,world bad rich open for new time ayy im man time yeah yeah ,rap,rap,0.12107448,0.87892556
38,38,world cause im in into three ,rap,rap,0.38542116,0.61457884
39,39,yeah dont told it no all yeah ayy you your eyes for eyes ,rap,rap,0.08876327,0.9112367
40,40,yeah im gonna need down ima she made you can walk around ,rap,rap,0.023820521,0.9761795
41,41,yeah ima tryna only what find be no dip ,rap,rap,0.00053023075,0.9994698
42,42,yeah its only one just shot road no good ,rap,country,0.5878103,0.41218975
43,43,yeah they damn the top the neck ayy ayy ,rap,rap,0.008102631,0.99189734
44,44,yeah shawty walk came ho man that both than else ,rap,country,0.5384325,0.46156758
45,45,yeah chorus ,rap,country,0.5779526,0.42204744
46,46,yeah hit my back on the town ,rap,country,0.5035011,0.49649888
47,47,yeah im gon fuck what take feel getting it that ,rap,rap,0.0008771485,0.9991228
48,48,yeah yeah thats in the time is be you want go to ,rap,rap,0.22020467,0.77979535
49,49,yeah you dont know it the take me and know me up you like ,rap,rap,0.47046557,0.5295344
50,50,yeah they tryna eat the trap time why be fun ,rap,rap,0.0048170094,0.99518293
51,51,yeah baby just leave her when no cold when both watch my mind ,rap,country,0.7527075,0.24729252
52,52,yes shots never only love for the life for the life ,rap,rap,0.08853167,0.9114684
53,53,yes outro ,rap,country,0.5926873,0.40731275
54,54,yes wine not always was heart ,rap,country,0.9063824,0.09361757
55,55,yes thought when you got me in this one around in my life ,rap,country,0.66211396,0.33788607
56,56,yes outro thomas rhett with your minaj ,rap,country,0.5719125,0.42808744
57,57,yes outro florida lil goes line line ,rap,rap,0.084380805,0.9156192
58,58,yes way theres country of of bein whiskey ,rap,country,0.9830079,0.016992047
59,59,yes outro ,rap,country,0.5926873,0.40731275
60,60,yes now can feel how got make love made ,rap,country,0.55537677,0.4446232
61,61,yes cause she leave the heart in the moon the cold back ,rap,country,0.91063607,0.089364
62,62,yes you know it the you and you dont it it ,rap,country,0.5506831,0.4493169
63,63,yes dad pussy balance whats love woo yeah yeah like love ,rap,rap,0.3110864,0.68891364
64,64,yes outro florida rock whiskey line ,rap,country,0.93815756,0.061842475
65,0, outro ,country,country,0.5879161,0.41208395
66,1, outro of baby pop pop but dont shit ayy uh ,country,rap,0.0017783805,0.9982216
67,2, outro florida rhett gwen line ,country,rap,0.46361068,0.5363893
68,3, give me way all in in with up every dorm get up ,country,rap,0.27430397,0.725696
69,4, turn lil believe no city ,country,rap,0.1193161,0.88068396
70,5, outro ,country,country,0.5879161,0.41208395
71,6, outro cole ,country,country,0.59016335,0.4098367
72,7, and the on the get ,country,country,0.59811634,0.40188363
73,8, if aint know how im cant im go of for ,country,rap,0.4011112,0.5988888
74,9, bad since fuckin my neck both two the second ,country,rap,0.29279754,0.7072025
75,10, outro post malone ,country,country,0.5588252,0.44117483
76,11, outro ,country,country,0.5879161,0.41208395
77,12, real better be road ,country,country,0.6259843,0.37401572
78,13,girl if had rapper talk who have dont bitches ,country,rap,0.021118872,0.9788811
79,14,girl told the bones came take but the stay with in my life ,country,rap,0.4771642,0.5228358
80,15,girl oh its aint pull my bitch bitch to stay ,country,rap,0.0055677574,0.9944323
81,16,girl now they want that in of my ass ,country,rap,0.31550142,0.68449855
82,17,girl seen home aint boy been watch come ride ,country,rap,0.3978987,0.6021013
83,18,girl cause when had me on motion bow ,country,rap,0.4615093,0.5384907
84,19,girl move cover thing ,country,rap,0.2968418,0.7031582
85,20,girl chorus ,country,country,0.5084217,0.49157822
86,21,girl if youre was for that lil far ,country,rap,0.090656675,0.90934324
87,22,girl chorus drake travis scott ,country,country,0.6063062,0.39369383
88,23,girl outro post malone ,country,rap,0.42672607,0.57327396
89,24,girl im tryna thing wanna cause my gettin aint mind ,country,rap,0.002524202,0.9974758
90,25,girl hit her dream like over them me dont really ,country,rap,0.40338135,0.5966187
91,26,world outro future shelton can could stefani ,country,rap,0.4512001,0.54879993
92,27,world told the bones dont take me when aint your music ,country,country,0.64836097,0.351639
93,28,world outro dan baby im roll ,country,rap,0.3085694,0.69143057
94,29,world when when aint never if im from we really to ,country,country,0.59297895,0.407021
95,30,world outro lil bad shot line ,country,rap,0.087926924,0.9120731
96,31,world ill kiss of what when know on your aint sayin of heart ,country,country,0.7055553,0.29444474
97,32,world move made made ride ,country,country,0.6090774,0.3909226
98,33,world they and you get me no ,country,country,0.5579795,0.44202045
99,34,world if youre was make with like on on the ground ,country,country,0.6915824,0.30841765
100,35,world outro thomas rhett the girls line ,country,country,0.5816844,0.41831565
101,36,world find mean pop me who ,country,rap,0.46028924,0.53971076
102,37,world ima remember where put road stefani with stefani ,country,rap,0.036963347,0.96303666
103,38,world real broke just be fuck the day wish im the cold ayy ,country,rap,0.076300606,0.9236994
104,39,yeah they only been gettin too day back em fuck kick ,country,rap,0.20516984,0.79483014
105,40,yeah we know its pull the pussy and call the heart ,country,rap,0.2552926,0.74470747
106,41,yeah yeah yeah yeah ,country,rap,0.48863026,0.5113697
107,42,yeah you all me in in love ,country,country,0.5835795,0.4164205
108,43,yeah well made nigga real big pussy pussy mouth what dont put ,country,rap,0.05871299,0.94128704
